instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, fractional_callback, total_time
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 205, 0, 7568.0, 7773.0, 13753, 0.09503984451293945, 0, 0, 0, True, True, True, True, 3640.0703659057617
Gowalla_edges, base_model, 3, 250, NA, 393182, 3904, 0, 107298.0, 107304.0, 5884, 0.3348963260650635, 0, 0, 0, True, True, True, True, 311.2483694553375
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 1845, 0, 204845.0, 204861.0, 12906, 0.4655168056488037, 0, 0, 0, True, True, True, True, 463.1625292301178
soc-catster.e, base_model, 21, 250, NA, 299400, 3297, 0, 79561.0, 79568.0, 15527, 0.6235127449035645, 0, 0, 0, True, True, True, True, 879.2459490299225
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, 2.1874992847442627
CA-CondMat, reduced_model, 4, 250, NA, 46266, 35418, 13464, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, False, 2.5982844829559326
CA-HepPh, reduced_model, 4, 250, NA, 24016, 17965, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, 1.2179319858551025
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 90569, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, 13.433559894561768
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19644, 7008, 7588.0, 7617.0, NA, NA, 0, 0, 0, False, False, False, False, 3602.555426836014
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19221, 6985, 7634.0, 7733.0, NA, NA, 0, 0, 0, False, False, False, False, 3603.129503250122
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 292745, 106417, 107299.0, 107303.0, NA, NA, 0, 0, 0, False, False, False, False, 139.89525747299194
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 510101, 204031, 204847.0, 204864.0, NA, NA, 0, 0, 0, False, False, False, False, 347.2702386379242
soc-catster.e, reduced_model, 21, 250, NA, 299400, 226642, 78945, 79555.0, 79562.0, NA, NA, 0, 0, 0, False, False, False, False, 381.75369215011597
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, 2.0494384765625
CA-CondMat, reduced_model, 4, 250, NA, 46266, 35418, 13464, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, False, 2.5472538471221924
CA-HepPh, reduced_model, 4, 250, NA, 24016, 17965, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, 1.1815476417541504
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 90569, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, 13.05859112739563
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19644, 7008, 7588.0, 7617.0, NA, NA, 0, 0, 0, False, False, False, False, 3602.485630750656
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19221, 6985, 7634.0, 7733.0, NA, NA, 0, 0, 0, False, False, False, False, 3603.1572902202606
